Serial Number,Start Time,Remaining Seconds,Device's Remaining Lifetime,Event Type,Channel,Duration,H2S Peak (ppm),CO Peak (ppm),O2 Peak (%Vol),LEL Peak (%LEL),H2S TWA,H2S STEL,CO TWA,CO STEL,Start Time in UTC,Temperature,Battery Voltage in Alarm,Firmware Version,H2S Low Alarm Pt,H2S High Alarm Pt,H2S TWA Alarm Pt,H2S STEL Alarm Pt,CO Low Alarm Pt,CO High Alarm Pt,CO Twa Alarm Pt,CO STEL Alarm Pt,O2 Low Alarm Pt,O2 High Alarm Pt,LEL Low alarm Pt,LEL High Alarm Pt,O2 Low Trigger,O2 High Trigger,Total Self Tests,Total event time(seconds),Total Event Count,Number of event transfered,Device Status
KO20BC401163500013,1993-09-12 14:13,Calibrating Battery Low STEL Alarm TWA Alarm ,,94,0.8,-0.1,299.5,60132,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-10-26 9:12,Low Alarm ,,102.4,1.6,-11,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 5:08,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,100.9,94,0.6,65535,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-02 23:15,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.4,1697.6,102.4,1.7,65426,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm TWA Alarm ,,6.6,0.7,0,99.9,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-21 4:24,High Alarm Down-scale Alarm ,,-540.4,1698.6,-540.4,1698.6,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,Calibrating Auto Zeroing Reserved Battery Low High Alarm Low Alarm STEL Alarm Down-scale Alarm ,,0,0.8,6.6,0.7,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low Multi Alarm TWA Alarm ,,-0.1,299.5,-540.4,1699.4,60132,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-14 13:39,STEL Alarm TWA Alarm Down-scale Alarm ,,-11,19.5,0,0.8,66,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-08-14 18:27,Calibrating Battery Low Multi Alarm Low Alarm STEL Alarm TWA Alarm ,,94,0.6,-0.1,299.5,60132,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-25 17:23,Low Alarm ,,102.4,1.7,-11,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 23:20,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,96.9,94,0.6,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-12-03 7:25,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.4,1701.6,102.4,1.7,65426,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm TWA Alarm ,,6.6,0.7,0,95.9,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,High Alarm Down-scale Alarm ,,-540.3,1696.6,-540.3,1696.6,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm STEL Alarm Down-scale Alarm ,,0,0.8,6.6,0.7,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low Low Alarm STEL Alarm TWA Alarm ,,0,299.5,-540.3,1697.4,60133,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1993-07-15 10:16,Calibrating Battery Low High Alarm Low Alarm ,,94,0.4,0,299.5,60133,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-09 0:53,Low Alarm ,,102.4,1.7,-10,19.5,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-06 23:20,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,0,93.1,94,0.4,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-16 14:55,Reserved Battery Low TWA Alarm Down-scale Alarm ,,-540.3,1699.4,102.4,1.8,65436,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-07 17:32,STEL Alarm ,,6.6,0.8,0,92.1,940,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1997-10-20 10:12,High Alarm TWA Alarm ,,-540.3,1701.6,-540.3,1701.6,1024,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-12-28 7:56,Calibrating Auto Zeroing Reserved TWA Alarm Down-scale Alarm ,,0,0.8,6.6,0.8,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-08-04 16:58,Calibrating Battery Low TWA Alarm ,,0.1,299.5,-506.3,1696.2,60473,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1992-01-11 0:42,Battery Low TWA Alarm Down-scale Alarm ,,87,17.9,55.6,1.1,75,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2089-10-15 5:57,Calibrating Battery Low Multi Alarm ,,93.9,34.8,2.4,299.5,60569,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,2026-11-15 2:38,Low Alarm STEL Alarm Down-scale Alarm ,,384,22.6,87,17.9,552,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401163500013,1991-09-26 19:02,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,29.9,-2355.7,93.9,34,24,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2017-03-26 1:24,Battery Low Multi Alarm STEL Alarm ,,1259.3,1362.2,1233.8,1387.2,13111,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-24 14:16,Reserved Battery Low TWA Alarm Down-scale Alarm ,,15,35,200,35,500,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-10-24 14:17,TWA Alarm Down-scale Alarm ,,20,25.8,-3049.6,3113.4,58142,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-12-11 9:07,Calibrating Auto Zeroing STEL Alarm ,,5.8,-2473.1,-463.6,1715.6,60900,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,251,20.9,0,0,1911,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2118-09-06 12:25,Calibrating Auto Zeroing High Alarm Low Alarm STEL Alarm TWA Alarm ,,96.1,3197.1,1.7,298,60911,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-16 7:28,,,51.3,0,251,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 18:19,Calibrating Auto Zeroing Reserved Multi Alarm STEL Alarm ,,247.4,-503.2,96.1,3128.5,17,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-05-04 12:40,Battery Low Multi Alarm STEL Alarm ,,-355.6,1720.6,51.8,6.5,69,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,High Alarm TWA Alarm Down-scale Alarm ,,191.1,0,247.4,2922.9,961,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-17 3:02,,,-355.5,1717.3,-355.5,1717.3,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 7:16,Calibrating Low Alarm Down-scale Alarm ,,0,0,200.7,0,2499,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1995-08-05 2:35,Calibrating Auto Zeroing High Alarm STEL Alarm Down-scale Alarm ,,1.7,298.3,-355.5,1717.3,61981,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,273,20.9,0,0,2007,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2052-03-25 4:49,Calibrating Auto Zeroing High Alarm STEL Alarm ,,96.1,192,1.7,298.3,62017,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-08 17:44,,,51.8,0.8,6.9,10,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 18:20,Calibrating Auto Zeroing Reserved Multi Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,249.9,2734.5,96.1,1.9,17,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-27 16:50,Reserved Battery Low Multi Alarm Down-scale Alarm ,,-351.9,1719.7,51.2,0,2680,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Multi Alarm High Alarm Low Alarm STEL Alarm Down-scale Alarm ,,207.6,0,199.5,2724.9,961,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,-321.1,1719.6,-321.1,1719.6,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:42,Calibrating TWA Alarm ,,0,0,207.6,0,1877,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-15 19:41,Calibrating Auto Zeroing Multi Alarm Low Alarm STEL Alarm Down-scale Alarm ,,2,299.5,-351.9,1719.7,62017,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,268,22.5,0,0,2129,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2048-03-11 15:23,Calibrating Auto Zeroing Multi Alarm High Alarm STEL Alarm ,,96.1,1770.8,2,299.5,62328,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-05-03 0:21,,,384.3,0.5,0.7,1,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 18:21,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,148.1,957.9,96.1,1.9,20,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-03 10:23,Reserved Battery Low High Alarm Down-scale Alarm ,,-320.7,1716.5,51.3,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Low Alarm TWA Alarm ,,206.6,0,148.1,952.1,961,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,-320.7,1719.4,-320.7,1719.4,513,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:31,Auto Zeroing High Alarm STEL Alarm ,,0,0,206.6,0,1434,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-16 13:53,Calibrating Auto Zeroing Multi Alarm Down-scale Alarm ,,2,299.5,-320.6,1718.5,62330,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,0,20.9,0,0,2066,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2011-03-18 22:20,Calibrating Auto Zeroing High Alarm Low Alarm ,,96.1,2.3,2,299.5,62346,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-11 18:38,,,51.2,0,36,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,4.5,873,96.1,0.6,21,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-03-26 2:08,Reserved Battery Low High Alarm Down-scale Alarm ,,-318.6,1715.4,51.2,0,350,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,STEL Alarm TWA Alarm ,,0.1,0,10,851.2,961,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,-317.9,1717.4,-317.9,1717.4,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:36,Calibrating Auto Zeroing Reserved Low Alarm ,,0,0,0.7,0,239,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-14 7:16,Calibrating Auto Zeroing Multi Alarm ,,2.1,299.5,-317.9,1718.4,62357,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,35,20.9,0,0,7,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2008-05-06 22:05,Calibrating Auto Zeroing Multi Alarm Low Alarm TWA Alarm ,,96.1,0.8,2.1,299.5,62357,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-04-25 10:19,,,51.2,0,36,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,24.7,805.2,96.1,1,21,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-05-06 1:11,Reserved Battery Low High Alarm Down-scale Alarm ,,-317.9,1720.8,51.2,0,500,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Calibrating Multi Alarm TWA Alarm ,,1.4,0,36.6,803.8,961,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,529.2,1747.6,529.2,1747.6,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:55,Auto Zeroing Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm ,,0,0,20.3,0,1416,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2000-04-20 10:16,Battery Low Multi Alarm STEL Alarm TWA Alarm ,,2,299.5,536.6,1751,5366,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,35,20.9,0,0,203,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2109-01-21 12:43,Battery Low Multi Alarm High Alarm ,,95.6,0.6,1.9,299.5,5366,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-28 1:08,,,51.2,0,35,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:50,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,135.3,-899,95.6,0.4,19,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-01-01 14:22,Reserved Battery Low High Alarm Down-scale Alarm ,,536.6,1752.6,51.2,0,350,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,TWA Alarm ,,20.3,0,132.9,-899.6,956,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,536.6,1753,536.6,1753,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:36,Reserved Battery Low High Alarm Low Alarm ,,0,0,20.3,0,1305,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-23 9:44,Battery Low High Alarm TWA Alarm ,,2,299.5,536.7,1749,5367,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,36,20.9,0,0,203,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2108-12-22 4:31,Battery Low Multi Alarm High Alarm STEL Alarm ,,95.6,3.2,2,299.5,5367,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-31 1:57,,,51.2,0,35,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:50,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,125.8,-905.4,95.6,0.2,20,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-01-04 15:11,Reserved Battery Low High Alarm Down-scale Alarm ,,536.7,1753,51.2,0,350,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,High Alarm Low Alarm STEL Alarm TWA Alarm ,,20.3,0,123.4,-906,956,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,529.7,1752.6,529.7,1752.6,513,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:55,High Alarm Low Alarm ,,0,0,21.2,0,1416,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2001-03-14 2:35,Battery Low High Alarm Low Alarm STEL Alarm TWA Alarm ,,1.9,299.5,536.8,1750.2,5368,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,47,20.9,0,0,445,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2108-10-28 13:33,Battery Low Multi Alarm Low Alarm ,,95.6,-1123.4,1.9,299.5,6849,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-21 23:55,,,51.2,0,91,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:54,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,39.9,213.4,95.6,9.6,20,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-12 21:28,Reserved Battery Low High Alarm Down-scale Alarm ,,685.1,1750,51.2,0,380,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Low Alarm STEL Alarm ,,44.5,0,39.8,202.6,956,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,685.1,1751.4,685.1,1751.4,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:52,Calibrating Auto Zeroing Reserved Battery Low High Alarm Low Alarm STEL Alarm ,,0,0,47.4,0,499,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2021-05-31 12:38,Battery Low STEL Alarm ,,2,298.9,710.7,1747.6,7107,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,52,20.9,0,0,478,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2102-01-22 7:30,Battery Low Multi Alarm Low Alarm TWA Alarm ,,95.5,239.4,2,298.6,7148,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-23 12:24,,,51.2,0,59,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:54,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,43.4,-1484.8,95.5,-0.1,19,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-14 10:26,Reserved Battery Low High Alarm Down-scale Alarm ,,885.5,1750.2,51.2,0,710,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Battery Low High Alarm STEL Alarm TWA Alarm ,,40.9,0,43.5,-1644,954,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,555.4,1751.8,555.4,1751.8,513,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:52,Calibrating Auto Zeroing Reserved Multi Alarm STEL Alarm ,,0,0,56,0,523,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2127-09-15 6:19,Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,2,299.5,2360.6,1752.7,23606,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,36,20.9,0,0,18,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2013-09-09 14:04,Battery Low Down-scale Alarm ,,94.5,0.6,1.7,299.5,23608,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-11-22 14:36,,,51.2,0,37,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,7.7,1056.9,94.5,0.8,17,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-09 7:06,Reserved Battery Low High Alarm Down-scale Alarm ,,2361.1,1749.5,51.2,0,370,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Low Alarm ,,1.9,0,10.5,1036.7,945,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,2361.6,1751.9,2361.6,1751.9,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:38,Multi Alarm Low Alarm TWA Alarm Down-scale Alarm ,,0,0,2,0,118,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-15 19:41,Battery Low High Alarm Low Alarm Down-scale Alarm ,,1.7,299.5,2361.7,1749.7,23617,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,40,20.9,0,0,20,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2012-11-17 18:21,Battery Low Low Alarm TWA Alarm Down-scale Alarm ,,94.5,0.8,1.7,299.5,23618,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-11-30 4:39,,,51.2,0,38,20.9,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Calibrating Auto Zeroing Reserved Multi Alarm High Alarm TWA Alarm Down-scale Alarm ,,13.7,1019.9,94.5,0.8,17,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-11-28 16:14,Reserved Battery Low High Alarm Down-scale Alarm ,,2361.9,1748.1,51.2,0,410,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,High Alarm Low Alarm ,,2,0,16.1,1014.1,945,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-10-28 12:06,,,2362,1747.9,2362,1747.9,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-24 10:29,Calibrating Auto Zeroing Battery Low Multi Alarm TWA Alarm Down-scale Alarm ,,0,0,453.6,0,3388,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2114-08-24 16:46,Battery Low Multi Alarm Low Alarm STEL Alarm Down-scale Alarm ,,1.9,292.8,2362.9,1751.7,23629,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,545,22.1,0,0,4862,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2011-05-06 12:32,Battery Low Multi Alarm Down-scale Alarm ,,94.5,-686.7,1.9,292.8,25183,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-16 21:35,,,51.8,0.7,7.2,10,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 19:02,Calibrating Auto Zeroing Battery Low Multi Alarm High Alarm Low Alarm ,,338.8,1638,94.4,1.9,19,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-01-02 14:04,Reserved Battery Low High Alarm Low Alarm STEL Alarm TWA Alarm ,,2518.3,1752.7,51.2,0,4310,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,Battery Low High Alarm Low Alarm STEL Alarm ,,453.6,0,333.5,1635.1,944,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1997-09-09 4:48,,,2518.5,1750.7,2518.5,1750.7,512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 7:11,Calibrating Auto Zeroing Battery Low Multi Alarm High Alarm Low Alarm TWA Alarm Down-scale Alarm ,,0,0,451.2,0,3225,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-09-15 3:51,Battery Low High Alarm Low Alarm STEL Alarm Down-scale Alarm ,,2,293,2518.6,1750.1,25186,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:55,,,171,20.9,0,0,4512,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2025-03-29 12:02,Battery Low Multi Alarm High Alarm STEL Alarm TWA Alarm Down-scale Alarm ,,94.4,1.2,2,293,25183,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2028-01-02 14:04,,,51.3,0,431,22.2,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 19:02,Calibrating Auto Zeroing Battery Low Multi Alarm High Alarm TWA Alarm ,,338.8,1635.1,94.4,16.6,20,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,2027-12-13 2:33,Reserved Battery Low High Alarm Down-scale Alarm ,,2518.7,1750,51.2,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,,,0,0,0,1613.7,944,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1991-08-09 17:47,,,2518.7,1750,2518.7,1750,513,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KO20BC401165200673,1992-01-15 6:31,Calibrating Auto Zeroing Low Alarm Down-scale Alarm ,,0,0,0,0,0,Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,
